OBJECTID,FIXED_PHARMACY,FIXED_ADDRESS,ZIPCODE,PHONE,HPV,T_DAP,OTHERS_BY_REQUEST,MENINGITIS,PNEUMOCOCCAL,WHOOPING_COUGH,TETANUS,MMR,PNEUMONIA,SHINGLES,INFLUENZA,HEPATITIS_A,HEPATITIS_B,NALOXONE_PROVIDER,INTRANASAL_NALOXONE,NALOXONE_INJECTOR,NALOXONE_TABLET,TOBACCO
420,Walgreens Pharmacy,4201 N BROAD ST,19140,(215) 457–3877,,,YES,,,,,,YES,YES,YES,,,YES,YES,YES,,
421,Walgreens Pharmacy,5627 GERMANTOWN AVE,19144,(215) 848-4651,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
422,Walgreens Pharmacy,7001 FRANKFORD AVE,19135,(215) 543-0715,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
423,Walgreens Pharmacy,807 LOCUST ST,19107,(215) 625-7902,,,,,,,,,,,,,,YES,YES,,,
424,Walgreens Pharmacy,7201 CASTOR AVE,19149,(215) 554-6750,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
425,Wal-Mart Pharmacy,2200 WHEATSHEAF LN,19137,(215) 613-1979,,,,,,,,,,,,,,YES,YES,,,
426,Walgreens Pharmacy,8828 FRANKFORD AVE,19136,(215) 338-4010,,,,,,,,,,,,,,YES,YES,,,
427,Wal-Mart Pharmacy,4301 BYBERRY RD,19154,(215) 281-3446,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
428,Wal-Mart Pharmacy,1675 S CHRISTOPHER COLUMBUS BLVD,19148,(215) 468-4230,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
429,Wal-Mart Pharmacy,9745 ROOSEVELT BLVD,19114,(215) 698-1236,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
430,Wal-Mart Pharmacy,4600 E ROOSEVELT BLVD,19124,(215) 288-3900,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
431,WASHINGTON SQUARE PHARMACY,241 S 6TH ST,19106,(215) 925-1466,,,YES,,,,,,YES,,YES,,,YES,YES,,,
432,WELLAID PHARMACY,21 S 63RD ST,19139,,,,,,,,,,,,YES,,,,,,,
433,Wellcare Pharmacy,2220 COTTMAN AVE,19149,(267) 538-2685,,,,,,,,,,,,,,YES,YES,,,
434,Wellcare Pharmacy,600 WASHINGTON AVE,19147,(267) 488-1099,,,,,,,,,,,,,,YES,YES,,,
435,WELLNESS PHARMACY,2337 RIDGE AVE,19121,(215) 800-1248,,,,,,,,,,,,,,YES,YES,YES,,
436,Wynnecare Pharmacy,2230 BRYN MAWR AVE,19131,(267) 353-8159,,,,,,,,,,,,,,YES,YES,,,
437,YORK STREET PHARMACY,2334 E YORK ST,19125,(215) 427-1200,,,,,,,,,,,,,,YES,YES,,,
438,Wynnefield Pharmacy,1901 N 54TH ST,19131,(215) 222-2400,,,,,,,,,,,,,,YES,YES,,,
